employee_id,employee_name,gender,date_of_birth,email,phone,department,designation,city,state,join_date,salary,employment_status
1,Dev Kumer,Female,04-02-1973,,3170669074,Operations,Executive,Gudivada,Bihar,09-10-2023,871473,Resigned
2,Anthony Bal,Male,30-11-2001,rajtarak@example.com,837783533,Finance,Engineer,Ramagundam,Andhra Pradesh,11-08-2024,412060,Resigned
3,Quincy Minhas,Female,19-04-1973,,9.14498E+11,Operations,Engineer,Vijayanagaram,Sikkim,17-07-2022,461210,On Leave
4,Kavya Chadha,Female,11-12-1994,gademaya@example.com,704999622,HR,Manager,Ahmedabad,Tripura,07-10-2022,1079821,On Leave
5,Nidhi Varkey,Male,20-06-1988,tripti48@example.net,682883607,IT,Manager,Jehanabad,Nagaland,08-10-2022,845436,Active
6,Vedhika Parikh,Male,10-04-1993,aarav88@example.net,5790328921,Operations,Manager,Patna,Uttarakhand,01-09-2021,372731,Resigned
7,Anay Sethi,Male,23-01-1966,zaid41@example.net,9.15412E+11,Finance,Analyst,Pondicherry,Meghalaya,05-02-2025,938765,Resigned
8,Arjun Muni,Male,18-05-1991,oviya34@example.org,8396030620,Operations,Engineer,Amroha,Tamil Nadu,18-05-2025,787197,Resigned
9,Thomas Varty,Female,02-10-1995,azaanrana@example.net,5604230411,IT,Analyst,Bihar Sharif,Telangana,01-06-2022,821183,Resigned
10,Zayyan De,Male,25-08-1965,kallatriveni@example.org,9806351396,HR,Analyst,Kumbakonam,Bihar,21-05-2024,705907,Active
11,Yamini Tata,Female,30-03-1966,neelima40@example.org,9.15926E+11,IT,Engineer,Deoghar,Meghalaya,07-08-2025,548348,Active
12,Dhruv Baria,Female,01-11-1970,omkaarganesan@example.net,9.14598E+11,Admin,Manager,Mahbubnagar,Tripura,24-03-2025,963898,Resigned
13,Hemang Nagi,Male,26-09-1967,ybora@example.org,9.152E+11,Operations,Analyst,Shimoga,Kerala,02-08-2023,1175569,Resigned
14,Tanvi Malhotra,Female,27-05-1972,merchantadvik@example.net,161033962,Operations,Engineer,Hospet,Goa,15-02-2023,302545,Resigned
15,Harshil Saran,Male,25-10-1990,zehaan75@example.org,9.15E+11,Finance,Engineer,Rajkot,Assam,08-10-2023,1086692,Resigned
16,Isaac Krishna,Female,19-09-1979,qparekh@example.org,3433514171,Operations,Manager,Ambattur,Madhya Pradesh,06-09-2023,1087770,On Leave
17,Falak Grover,Male,17-08-1986,yatan51@example.net,9913303614,IT,Engineer,Aurangabad,Andhra Pradesh,25-02-2021,393872,On Leave
18,Jagrati Tak,Female,22-12-1996,harrisonthaker@example.com,9.18222E+11,Admin,Engineer,Cuttack,Gujarat,11-04-2022,1085947,Resigned
19,Diya Jha,Male,13-03-1977,rachita82@example.org,,HR,Analyst,Hyderabad,Madhya Pradesh,14-12-2023,572959,Active
20,Aarna Sunder,Male,25-09-1966,dbahl@example.net,9292244696,IT,Executive,Pudukkottai,Assam,21-01-2023,419045,On Leave
21,Abhimanyu Goel,Male,18-01-2001,xiti73@example.org,7736589430,Finance,Manager,Sasaram,Rajasthan,16-03-2024,796501,On Leave
22,Yasti Jani,Female,16-04-1986,chandani85@example.org,7911989622,Finance,Executive,Purnia,Gujarat,30-11-2025,967605,On Leave
23,Warda Ramesh,Female,02-10-1988,kvarma@example.net,814141291,IT,Engineer,New Delhi,West Bengal,27-04-2024,348866,Resigned
24,Mekhala Gala,Female,22-03-1987,,9.11699E+11,Operations,Executive,Jhansi,Mizoram,20-10-2024,1072314,Active
